drydown_event_id,Van Genuchten R2,Exponential Decay R2,Linear Regression R2,Hybrid Model R2,Best Model
595,-6.436177676616417e-05,0.1764856695665027,0.17650787660794942,0.1764856727051245,Linear Regression
596,-7.25402679413456e-05,0.16513174600978675,0.16514825087141727,0.16513174999697144,Linear Regression
597,0.09925996599143172,0.013000059358496574,0.013003464219415117,0.013000065312670395,Van Genuchten
598,0.4460681374697414,,0.4163037367019081,,Van Genuchten
600,0.9575594009814884,0.9732654372459958,0.9468296907306903,0.973270944156383,Hybrid Model
616,0.9904729625079008,0.9948505293674316,0.9437842916637477,0.9948540444898308,Hybrid Model
617,-0.17221995650804267,0.31234073542476104,0.31237306688151023,0.3123407425547565,Linear Regression
618,-0.00012744810684472974,0.39354960543406603,0.39357678429219745,0.39354961059019555,Linear Regression
619,-0.003235384084064208,0.4055126141471699,0.4055414193229635,0.4055126168920572,Linear Regression
620,0.0008932592674326667,0.10435553525376273,0.10436922070696897,0.1043555374657581,Linear Regression
621,0.012850473190229361,0.00029098271244143437,0.00029195178165786206,0.0002909871627542193,Van Genuchten
622,0.5944251738766966,,0.600868019471367,,Linear Regression
623,-0.09133077681403945,0.16694501832332542,0.16696488325082648,0.1669450194658718,Linear Regression
624,-0.27976246481800127,0.02511013148742014,0.025118480301915436,0.02511013179619681,Linear Regression
625,-0.07001973282783203,0.006959845252392349,0.006964513453008081,0.006959851016037466,Linear Regression
626,0.10724465083168655,0.2058622349652226,0.20587464469097738,0.205862240812143,Linear Regression
627,0.0676939084594329,0.12602554551864842,0.12603828464578481,0.12602554621924278,Linear Regression
628,0.17268997213958392,0.26604203668047777,0.2660584756650545,0.266042038696912,Linear Regression
629,0.49416960654764874,,0.44391701094292546,,Van Genuchten
630,0.9934882233533526,0.9964039375736446,0.9499808411561587,0.9964043024291196,Hybrid Model
631,-0.0625630500954768,0.5241928852211559,0.5242255395450711,0.5241928886732835,Linear Regression
632,-0.001384100502441532,0.3217481902204451,0.3217786291690953,0.3217481920762353,Linear Regression
633,-0.005008108393868227,0.30037842492367794,0.3004027025287307,0.3003784276272249,Linear Regression
634,-0.009505724045455022,0.22989269096970621,0.2299228369022106,0.22989269426701553,Linear Regression
635,0.022074015228197963,0.0009473455309515488,0.0009486905092241926,0.0009473482183854909,Van Genuchten
636,0.7175420997467487,,0.7230177947262908,,Linear Regression
637,-0.023951927749854773,0.23608635801946753,0.23611369065811738,0.23608636531475768,Linear Regression
638,-0.34925821500969234,0.3532336907605699,0.3532563824957248,0.3532336971884541,Linear Regression
639,0.08446444261977759,0.1426038686881923,0.14261918734371903,0.14260386925890478,Linear Regression
640,0.06723657018948592,0.1402753651513482,0.14029457027774972,0.14027536968809573,Linear Regression
641,-0.23384904217807567,0.03313845435865359,0.03314898810616562,0.033138458933850146,Linear Regression
642,0.013476757801939132,0.1509767167066398,0.1509933349174606,0.150976719184029,Linear Regression
643,-0.5337823584341332,0.022147320082841593,0.02215643920305166,0.02214732366256067,Linear Regression
644,0.1570520747125208,0.14741027738911106,0.1474204878842862,0.14741027911563265,Van Genuchten
645,3.7306830499295174e-05,0.1212602887768367,0.12127600876871503,0.12126028955275436,Linear Regression
646,0.990708674854502,0.9947145370709,0.9550179766700707,0.9947155326952277,Hybrid Model
648,-0.0001530426944622576,0.4399411138950621,0.4399702043782219,0.4399411142269902,Linear Regression
650,-0.00010509698657612532,0.30108824635898623,0.3011127370022717,0.30108825307180065,Linear Regression
652,0.0017176778668922532,0.10012693346047485,0.10014037574405288,0.10012693397319938,Linear Regression
654,0.008832641651305484,0.026103083974739816,0.026113144536203614,0.026103098288619897,Linear Regression
656,0.9757944129988243,0.9565233355243028,0.8928675873320471,0.9565415960108794,Van Genuchten
657,0.7488588896615536,,0.7488541822375511,,Van Genuchten
658,-0.013997408889830254,0.2852753910620647,0.28530266491153344,0.2852753913231192,Linear Regression
659,-0.20666217015705257,0.0012267097731918364,0.001228599752605808,0.0012267146095898962,Linear Regression
660,-0.08118882638991587,0.07658960819297478,0.07660136121947181,0.07658961086659166,Linear Regression
661,-0.037939703764199306,0.07921837677551469,0.07922638797461234,0.07921837700267709,Linear Regression
662,-0.03290187074404538,0.0989071394034221,0.09892110878741422,0.0989071493174325,Linear Regression
663,-0.3754523992340095,0.028241200208165007,0.02824981352009892,0.028241202897101192,Linear Regression
